Carimbo de data/hora,Ja é aluno da INFNET?,Qual seu nivel de formação?,Qual sua renda pessoal?,Quantas pessoas na casa ou dependentes?,Qual sua renda familiar?,Qual sua idade?,Qual seu sexo?,Qual sua área de interesse principal?,Qual sua área de interesse secundaria (Opcional)?,Quanto tempo dedicaria para um curso profissionalizante ?,Como você lida com prazos apertados e pressão?,Qual sua afinidade com tecnologia?,Qual seu nível de matemática na sua opinião ?,Qual seu estilo musical preferido?,Qual dos seguintes cenários você considera mais estimulante?,"Em um filme de ficção científica, o que te fascina mais?",O que te motiva mais em um trabalho?,"Se você pudesse ter superpoder, qual escolheria?","Quando você precisa resolver um problema complexo, qual é a sua primeira ação?"
04/09/2025 19:08:22,Sim,Cursando Ensino Superior,De R$ 1.501 a R$ 3.000 (1–2 SM),2,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",22,Masculino,Engenharia de Software,Jogos Digitais,5 anos ou mais,Muito Bem,Alta,Médio,"Eletronica, Afrobeats ou Drum n Bass",Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A possibilidade de construir e ver um produto funcionando.,A capacidade de prever o futuro,Coletar o máximo de dados e informações para entender a causa.
04/09/2025 19:09:38,Sim,Cursando Ensino Superior,Até R$ 1.500 (~até 1 SM),2,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)","Joinville, SC",Masculino,Engenharia de Software,Engenharia de Dados e Inteligência Artificial,4 anos,Bem,Alta,Médio,"Clássica, Jazz ou Romantica",Desenvolver uma campanha de anúncios online que atrai milhares de clientes.,A inteligência artificial e os robôs.,A possibilidade de construir e ver um produto funcionando.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
04/09/2025 19:09:46,Sim,Ensino Superior Completo,De R$ 1.501 a R$ 3.000 (1–2 SM),2,Até R$ 3.000 (até ~2 SM),25,Masculino,Engenharia de Software,Análise e Desenvolvimento de Sistemas,2 anos e meio,Mal,Alta,Iniciante,Outros,Criar um jogo eletrônico divertido e viciante.,A inteligência artificial e os robôs.,A possibilidade de construir e ver um produto funcionando.,A capacidade de prever o futuro,Coletar o máximo de dados e informações para entender a causa.
04/09/2025 19:11:05,Sim,Ensino Superior Completo,Sem renda,3,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",26,Masculino,Jogos Digitais,"Tecnologia da Informação (Infraestrutura, Programação e Dados)",4 anos,Bem,Alta,Avançado,Rock e Metal,Criar um jogo eletrônico divertido e viciante.,"O visual, os efeitos especiais e o design dos cenários.",A oportunidade de usar a criatividade para inovar.,A capacidade de entender e consertar qualquer coisa,Buscar ferramentas e tecnologias que possam automatizar a solução.
04/09/2025 19:15:30,Sim,Ensino Superior Completo,Sem renda,4,Prefiro não informar,26,Masculino,Jogos Digitais,,2 anos e meio,Muito Mal,Média,Médio,"Eletronica, Afrobeats ou Drum n Bass",Criar um jogo eletrônico divertido e viciante.,"O visual, os efeitos especiais e o design dos cenários.",A oportunidade de usar a criatividade para inovar.,A habilidade de criar objetos e mundos com a mente,Quebrar o problema em partes menores e analisar cada uma.
04/09/2025 19:22:42,Sim,Ensino Médio Completo,Até R$ 1.500 (~até 1 SM),2,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",22,Masculino,Marketing Digital,"Tecnologia da Informação (Infraestrutura, Programação e Dados)",4 anos,Bem,Alta,Médio,"Funk, Hip-hop ou Rap",Proteger dados sensíveis de um vazamento cibernético.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A capacidade de entender e consertar qualquer coisa,Coletar o máximo de dados e informações para entender a causa.
05/09/2025 09:49:27,Sim,Cursando Ensino Superior,Sem renda,2,De R$ 15.001 a R$ 20.000 (10–14 SM),22,Masculino,Engenharia de Software,Jogos Digitais,4 anos,Bem,Alta,Avançado,"Eletronica, Afrobeats ou Drum n Bass",Construir um robô que resolve problemas do dia a dia.,As tecnologias usadas para se comunicar e transferir dados.,A oportunidade de usar a criatividade para inovar.,A habilidade de criar objetos e mundos com a mente,Buscar ferramentas e tecnologias que possam automatizar a solução.
08/09/2025 13:37:18,Sim,Cursando Ensino Superior,De R$ 1.501 a R$ 3.000 (1–2 SM),2,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",21,Masculino,Engenharia de Software,Segurança da Informação e Defesa Cibernética,4 anos,Mal,Alta,Médio,Outros,Construir um robô que resolve problemas do dia a dia.,A segurança dos sistemas e os códigos de acesso.,A possibilidade de construir e ver um produto funcionando.,A habilidade de criar objetos e mundos com a mente,Coletar o máximo de dados e informações para entender a causa.
08/09/2025 13:51:16,Sim,Ensino Médio Completo,Até R$ 1.500 (~até 1 SM),2,Até R$ 3.000 (até ~2 SM),21,Masculino,Engenharia de Computação,"Tecnologia da Informação (Infraestrutura, Programação e Dados)",5 anos ou mais,Muito Bem,Alta,Médio,Rock e Metal,Construir um robô que resolve problemas do dia a dia.,A segurança dos sistemas e os códigos de acesso.,A oportunidade de usar a criatividade para inovar.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 13:59:09,Sim,Cursando Ensino Superior,Sem renda,3,Prefiro não informar,25,Masculino,Segurança da Informação e Defesa Cibernética,Análise e Desenvolvimento de Sistemas,2 anos e meio,Muito Bem,Alta,Iniciante,Rock e Metal,Criar um jogo eletrônico divertido e viciante.,"O visual, os efeitos especiais e o design dos cenários.",A responsabilidade de manter a estabilidade e segurança.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
